Symbol,QuotationValue,UpdatedDate,Session1SpotPrice,Session2SpotPrice,PolledInfo
GOLDM,10 Grams,12-10-2018,"31,564.00","31,546.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12102018_2.xlsx
SILVERMIC,1 Kg,12-10-2018,"38,258.00","38,263.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12102018_2.xlsx
SILVER,1 Kg,12-10-2018,"38,258.00","38,263.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12102018_2.xlsx
GOLD,10 Grams,12-10-2018,"31,564.00","31,546.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12102018_2.xlsx
SILVERM,1 Kg,12-10-2018,"38,258.00","38,263.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12102018_2.xlsx
SILVER,1 Kg,15-10-2018,"38,544.00","38,790.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15102018_2.xlsx
GOLD,10 Grams,15-10-2018,"31,786.00","31,948.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15102018_2.xlsx
SILVERM,1 Kg,15-10-2018,"38,544.00","38,790.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15102018_2.xlsx
GOLDM,10 Grams,15-10-2018,"31,786.00","31,948.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15102018_2.xlsx
SILVERMIC,1 Kg,15-10-2018,"38,544.00","38,790.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15102018_2.xlsx
GOLD,10 Grams,16-10-2018,"31,866.00","31,800.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16102018_2.xlsx
SILVER,1 Kg,16-10-2018,"38,490.00","38,551.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16102018_2.xlsx
SILVERM,1 Kg,16-10-2018,"38,490.00","38,551.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16102018_2.xlsx
SILVERMIC,1 Kg,16-10-2018,"38,490.00","38,551.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16102018_2.xlsx
GOLDM,10 Grams,16-10-2018,"31,866.00","31,800.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16102018_2.xlsx
SILVER,1 Kg,17-10-2018,"38,274.00","38,455.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17102018_2.xlsx
GOLDM,10 Grams,17-10-2018,"31,620.00","31,741.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17102018_2.xlsx
SILVERMIC,1 Kg,17-10-2018,"38,274.00","38,455.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17102018_2.xlsx
GOLD,10 Grams,17-10-2018,"31,620.00","31,741.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17102018_2.xlsx
SILVERM,1 Kg,17-10-2018,"38,274.00","38,455.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17102018_2.xlsx
SILVERM,1 Kg,19-10-2018,"38,299.00","38,281.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19102018_2.xlsx
GOLD,10 Grams,19-10-2018,"31,741.00","31,737.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19102018_2.xlsx
GOLDM,10 Grams,19-10-2018,"31,741.00","31,737.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19102018_2.xlsx
SILVER,1 Kg,19-10-2018,"38,299.00","38,281.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19102018_2.xlsx
SILVERMIC,1 Kg,19-10-2018,"38,299.00","38,281.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19102018_2.xlsx
GOLDM,10 Grams,22-10-2018,"31,629.00","31,609.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22102018_2.xlsx
SILVERMIC,1 Kg,22-10-2018,"38,206.00","38,265.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22102018_2.xlsx
SILVER,1 Kg,22-10-2018,"38,206.00","38,265.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22102018_2.xlsx
GOLD,10 Grams,22-10-2018,"31,629.00","31,609.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22102018_2.xlsx
SILVERM,1 Kg,22-10-2018,"38,206.00","38,265.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22102018_2.xlsx
SILVERM,1 Kg,23-10-2018,"38,338.00","38,611.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23102018_2.xlsx
GOLDM,10 Grams,23-10-2018,"31,774.00","31,915.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23102018_2.xlsx
SILVERMIC,1 Kg,23-10-2018,"38,338.00","38,611.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23102018_2.xlsx
GOLD,10 Grams,23-10-2018,"31,774.00","31,915.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23102018_2.xlsx
SILVER,1 Kg,23-10-2018,"38,338.00","38,611.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23102018_2.xlsx
GOLD,10 Grams,24-10-2018,"31,731.00","31,688.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24102018_2.xlsx
SILVER,1 Kg,24-10-2018,"38,568.00","38,520.00",https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24102018_2.xlsx
